word,n
mistake,745
accommodating,744
east,744
giant,744
notice,744
story,744
helped,743
bucks,741
shops,741
situation,741
margarita,739
omg,738
pre,738
company,737
soda,737
experiences,736
chip,735
figured,735
sadly,735
brew,733
lost,733
crawfish,732
sample,730
request,727
speak,727
passed,726
stood,726
hell,725
impressive,725
refill,725
worse,725
almond,723
decorated,722
girlfriend,722
hummus,722
inviting,722
burnt,721
mall,721
realize,721
hair,720
earlier,719
slaw,718
strawberries,718
creole,716
support,713
environment,712
alcohol,709
charming,708
meeting,707
hype,706
luckily,704
delish,703
nights,703
skillet,703
sun,703
owned,702
dollars,700
extensive,699
play,699
upscale,699
crunch,697
tonight,696
treated,695
champagne,694
ladies,694
step,694
positive,692
fit,691
indoor,691
min,691
additional,690
community,690
god,689
lines,689
requested,689
bartenders,687
smooth,685
offering,684
spectacular,684
missed,683
oyster,683
quaint,683
doubt,682
explained,682
girls,677
charged,675
gift,675
social,675
beautifully,674
shake,672
stomach,672
cheesecake,671
wheat,671
informed,670
admit,669
louis,669
wifi,669
cashier,668
king,665
typically,665
affordable,663
bigger,663
bought,662
craft,662
hint,661
issues,660
disappointment,659
eats,659
pleasantly,659
paired,658
pesto,658
specialty,658
complaints,656
post,656
selections,656
chewy,654
experienced,653
creme,652
fell,652
private,652
negative,651
separate,650
bars,649
jazz,649
chunks,646
types,646
moving,645
smell,645
website,643
farm,640
dressed,639
muffins,638
overcooked,637
figure,636
mins,636
pineapple,636
wide,636
funny,635
ketchup,635
meh,635
satisfying,635
seasonal,635
sell,635
signature,635
wedding,635
reminded,633
key,632
recommendations,632
shopping,632
include,630
ambience,629
finding,629
sound,629
basil,628
entrance,627
catch,625
lacking,624
doors,621
driving,620
professional,620
skip,620
truffle,620
convenient,619
fall,619
polite,619
ridiculous,619
spring,618
sold,617
bowls,616
enjoyable,616
pool,616
balance,615
hanging,615
dipping,614
locally,614
filet,613
allowed,612
businesses,612
quiche,612
sharing,612
huevos,610
chai,609
scramble,609
tuesday,609
dollar,608
parties,606
drop,605
meatballs,605
waste,605
biggest,604
jack,603
mid,603
chill,602
decision,601
delivery,601
telling,601
yesterday,601
pour,600
rye,600
shame,600
trendy,600
tad,599
spacious,598
absolute,597
flavored,597
olive,597
thursday,596
closer,594
ground,593
blend,592
friend's,592
guest,592
knowledgeable,592
bringing,591
breast,590
hole,590
recommendation,590
writing,590
buffalo,589
holy,589
parmesan,589
shell,589
explain,588
trust,588
employee,587
prior,587
exceptional,586
compared,585
mussels,585
putting,585
shredded,585
complain,584
commander's,583
question,582
mother,581
photos,581
sweetness,581
tart,581
weekday,581
loves,580
distance,579
feta,579
gross,579
massive,579
cherry,578
omelets,578
college,577
workers,577
airport,575
catfish,575
difference,575
ginger,574
00,573
tofu,571
adorable,570
consistently,569
plastic,569
3.5,567
ranch,567
juices,566
appeared,565
coffees,564
provide,564
throw,564
yelpers,564
cheeses,563
gotta,563
arugula,562
gonna,562
equally,561
prompt,561
tourist,561
sizes,560
sea,559
agreed,558
basket,558
mozzarella,558
blocks,556
cornbread,556
office,556
beverage,555
ample,554
brie,554
hip,554
leftovers,553
watched,553
batter,552
flaky,552
rancheros,552
safe,552
barista,551
broccoli,551
continue,551
includes,550
cilantro,549
grabbed,549
tapas,549
would've,548
favor,547
tortillas,546
bonus,545
lighting,544
wild,544
asian,543
brioche,543
charm,543
lightly,543
bay,542
beverages,542
bother,542
managed,542
stuck,542
dined,541
wearing,541
bathrooms,540
bistro,540
consistency,540
snack,540
adding,539
peach,539
wrapped,539
bottomless,538
buttermilk,536
eventually,536
north,536
regret,536
waitresses,536
aioli,535
ass,535
cucumber,535
yogurt,535
mango,534
partner,534
chipotle,533
dropped,533
major,532
swiss,530
flatbread,529
parents,529
vegetable,529
headed,528
takeout,528
meant,527
strange,525
awhile,524
golden,524
knowing,523
laid,523
noodles,523
team,523
margaritas,522
tots,522
broth,520
opportunity,519
caesar,518
natural,518
rock,518
brussels,517
ihop,517
occasion,517
queso,517
diet,516
relaxing,515
rings,514
apologized,513
asparagus,513
kinds,513
carrot,512
answer,511
blown,511
calamari,511
sourdough,511
breakfasts,510
memorable,509
thai,509
named,508
dad,507
sunny,507
pete,506
fault,505
treats,505
mother's,504
regulars,504
caramelized,503
runny,502
rushed,502
2nd,500
bf,500
grand,500
cheeseburger,499
confused,499
oven,498
bottles,497
nasty,497
squash,497
reasons,496
receive,496
squeezed,496
bomb,495
pan,495
vinaigrette,495
dogs,494
range,494
response,494
burritos,493
enter,492
seared,492
history,490
meatloaf,490
starbucks,490
stellar,490
class,489
decadent,489
airy,488
balls,488
excuse,488
process,488
win,488
wednesday,487
courtyard,486
lemonade,486
noon,486
pricing,486
health,485
machine,485
venue,485
california,484
caught,484
handle,484
boys,483
correct,483
frequent,483
winner,483
starving,482
salted,481
children,480
spoon,480
ball,479
comfy,479
discovered,479
mocha,479
starting,478
divine,476
consistent,475
pleasure,475
vodka,474
display,473
temperature,473
drunk,472
eggplant,472
learned,472
calling,471
listed,471
cards,470
chile,470
oatmeal,470
accommodate,469
cooks,469
impression,468
rate,468
apps,467
brick,467
keeping,467
plentiful,467
twist,467
winter,467
accompanied,466
classy,466
culinary,466
dream,466
drove,466
indy,466
noise,466
pastrami,465
random,465
thankfully,465
turtle,465
closing,464
cracker,464
smoothie,464
chopped,463
dried,463
hashbrowns,463
quesadilla,463
stated,463
whiskey,462
braised,461
palace,461
photo,461
secret,461
tend,461
fellow,460
flight,460
intimate,460
comment,458
disgusting,458
pies,458
agree,457
fashioned,457
lacked,457
season,457
design,456
pickle,456
proper,456
rarely,456
curry,455
deliver,455
picky,454
provolone,454
settled,454
suggestions,454
band,453
christmas,453
crap,453
nuts,453
posted,453
risotto,453
superb,453
tour,453
uncomfortable,453
florida,452
form,452
lounge,452
overwhelming,452
product,452
reminds,452
wines,452
carrots,451
olives,451
pub,451
send,451
color,450
blt,449
properly,449
raspberry,449
yolk,449
york,448
base,447
jambalaya,447
heading,446
shit,446
talked,446
truck,445
tucked,445
valet,445
highlight,443
names,443
relaxed,443
speaking,443
waitstaff,443
worthy,443
lights,442
rustic,442
calories,441
beignet,440
garage,440
romantic,440
sangria,440
eatery,439
events,439
hospitality,439
effort,438
gooey,438
wise,438
annoying,437
brings,437
gras,437
patient,437
spices,437
ya,437
ave,436
select,436
heavenly,434
prepare,434
beet,433
ricotta,433
spiced,433
alright,432
chowder,432
topping,432
yellow,432
featured,431
buns,430
draft,430
grocery,430
match,430
sports,430
ceiling,429
leaves,429
potential,429
pressed,429
punch,429
balanced,428
brand,428
denny's,428
spanish,428
boring,427
pure,427
waiters,427
dress,426
helping,426
barrel,425
indian,425
lox,425
purchase,425
smoke,425
sticky,425
theme,425
consisted,424
luck,424
mild,424
fry,423
mint,423
planning,423
remembered,423
awkward,422
bitter,422
steaks,422
women,422
constantly,421
dont,421
happily,421
preferred,421
gourmet,419
stack,419
needless,418
bisque,417
chair,417
directly,417
soy,417
breads,416
delight,416
joke,416
obvious,416
rave,416
dive,415
sabrina's,415
staple,415
changing,414
chefs,414
tight,414
downstairs,413
follow,413
nutella,413
byob,412
vacation,412
arrival,411
aware,411
companion,411
details,411
cabbage,410
foster,410
pull,410
familiar,409
impossible,409
napkins,409
granola,408
homey,408
dense,407
iron,407
powdered,407
foot,406
grease,406
lobby,406
omelettes,406
apples,405
glazed,404
cover,403
hearing,403
occasions,403
berry,402
chop,402
holiday,401
masks,401
pizzas,401
relax,401
teas,401
boise,400
poured,400
courses,399
smothered,399
jalapeno,398
brussel,397
desert,397
hamburger,397
joe,397
annoyed,396
bits,396
deliciousness,396
gelato,396
buds,395
games,395
panera,395
layer,394
sampled,394
cheaper,393
handed,393
jelly,393
restroom,393
skin,393
sliders,393
slight,393
stale,392
brother,391
freaking,391
public,391
advance,390
bone,390
delectable,390
mark,390
rolled,390
row,390
soul,390
spoke,390
bet,389
blackened,389
cleaned,389
quinoa,389
sick,389
stopping,389
coast,388
description,388
liquor,388
sb,388
spending,388
worry,388
continued,387
octopus,387
assume,386
carry,386
held,386
trouble,386
lives,385
tangy,385
artichoke,384
celebrate,384
desk,384
protein,384
search,384
final,383
jalapeño,383
mary's,383
welcomed,383
advantage,382
floors,382
island,382
wear,382
feet,381
tired,381
create,380
eclectic,380
pig,380
gnocchi,379
mi,379
silverware,379
tourists,379
traffic,379
views,379
chat,378
lit,378
tequila,378
written,378
rose,377
shocked,377
undercooked,377
liking,376
appetite,375
martini,375
anniversary,374
berries,374
broken,374
child,373
clam,373
gf,373
darn,372
pink,372
common,371
discount,371
ride,370
scratch,370
strips,370
inspired,369
shortly,369
stumbled,369
terrific,369
enchiladas,368
fans,368
sip,368
4.5,367
arriving,367
exciting,367
luke,367
products,367
signs,367
terms,367
rum,366
listen,365
standards,365
threw,365
learn,364
messy,364
anytime,362
john,362
suggestion,362
ahi,361
entering,361
smelled,361
sushi,361
breaded,360
gentleman,360
heck,360
build,359
shower,359
avenue,358
def,358
gold,357
pita,357
tax,357
35,356
amazingly,356
energy,356
glaze,356
ish,356
miles,356
velvet,356
blueberries,355
count,355
dance,355
frequently,355
monde,355
refilled,355
stone,355
tips,355
upset,354
created,353
depending,353
starters,353
tells,353
entered,352
handful,352
numerous,352
planned,352
foodie,351
manner,351
ravioli,351
warning,351
baguette,350
cappuccino,350
personable,350
wooden,350
deserves,349
icing,349
kidding,349
sooo,349
tops,349
destination,348
dinners,348
feed,348
neat,348
sweets,348
proceeded,347
andouille,346
apologize,346
site,346
texas,346
apology,345
datz,345
receipt,345
till,345
combined,344
flour,344
irish,344
gulf,343
waters,343
weak,343
dutch,342
flavorless,342
buddy,341
dairy,341
likes,341
regularly,341
ruby,341
chic,340
funky,340
crowds,339
district,339
features,339
fountain,339
guac,339
judge,339
mile,339
blood,338
smoothies,338
appealing,337
coleslaw,337
current,337
dead,337
establishments,337
louisiana,337
lower,337
picking,337
scones,337
travel,337
adds,336
exception,335
knife,335
mornings,335
pandemic,335
snacks,335
75,334
belgian,334
central,334
cents,334
fingers,334
nope,334
plaza,334
river,334
tasteless,334
thrilled,334
timely,334
originally,333
soooo,333
balsamic,332
inexpensive,332
reuben,332
wraps,332
adult,331
appears,331
lavender,331
sesame,331
wondering,331
concerned,330
container,330
hopes,330
lattes,330
mad,330
wet,330
60,329
repeat,329
recipe,328
could've,327
edge,327
cramped,326
initially,326
pico,326
power,326
contact,325
fig,325
lastly,325
played,325
bus,324
gas,324
historic,324
infused,324
news,324
pack,324
saved,324
cleaning,323
earth,323
hangover,323
macaroni,323
pear,323
thanksgiving,323
access,322
assortment,322
hill,322
parked,322
semi,322
attempt,321
checks,321
considered,321
advice,320
piping,320
rosemary,320
spaghetti,320
starts,320
substitute,320
hurry,319
raved,319
starter,319
compare,318
korean,318
sidewalk,318
terminal,318
wash,318
exact,317
popped,317
village,317
90,316
citrus,316
exterior,316
goodies,316
horseradish,316
industrial,316
scoop,316
mahi,315
pain,315
sampler,315
11am,314
answered,314
easier,314
martinis,314
notes,314
training,314
watermelon,314
whites,314
wife's,314
ridiculously,313
furniture,312
impeccable,312
lover,312
nyc,312
patties,312
score,312
shirt,312
sundays,312
attached,311
body,311
correctly,311
growing,311
instantly,311
pecans,311
pho,311
pile,311
respect,311
coke,310
cupcakes,310
students,310
compliment,309
mugs,309
panini,309
pretentious,309
thrown,309
age,308
focus,308
grain,308
meaty,308
wished,308
costs,307
dude,307
jersey,307
law,307
suppose,307
trio,307
chatting,306
chops,306
devoured,306
sucks,306
led,305
overwhelmed,305
scrumptious,305
sharp,305
warned,305
booked,304
essentially,304
everyday,304
families,304
fatty,304
forgotten,304
kudos,304
pro,304
san,304
steamed,304
background,303
coupon,303
finishing,303
produce,303
silver,303
aka,302
pics,302
required,302
vietnamese,302
croissants,301
frittata,301
movie,301
mushy,301
sink,301
county,300
diverse,300
elegant,300
pair,300
squeeze,299
zucchini,299
carne,298
colorful,298
crusted,298
fortunately,298
passing,298
result,298
booze,297
drizzled,297
midtown,297
vinegar,297
doughnuts,296
husband's,296
magic,296
sight,296
smoky,296
vibes,296
caffeine,295
complaining,295
deserve,295
edible,295
layout,295
purchased,295
wonderfully,295
asada,294
atop,294
btw,294
satisfy,294
tony,294
tossed,294
adults,293
bear,293
church,293
code,293
ideal,293
meatball,293
raised,293
breading,292
dumplings,292
mousse,292
bank,291
colors,291
cranberry,291
killer,291
plans,291
pros,291
sticks,291
built,290
chef's,290
mediterranean,290
prep,290
smiling,290
deviled,289
didnt,289
minus,289
train,289
varieties,289
beets,288
bird,288
brewed,288
brownie,288
fake,288
inedible,288
peak,288
ratio,288
scrapple,288
specific,288
dipped,287
haha,287
tall,287
uber,287
verde,287
fed,286
meaning,286
preference,286
casino,285
gin,285
pants,285
pic,285
pitcher,285
prosciutto,285
aged,284
pound,284
refused,284
ticket,284
control,283
drank,283
eater,283
recall,283
tvs,283
chinese,282
lighter,282
milkshake,282
pretzel,282
watery,282
4th,281
alas,281
cafeteria,281
dig,281
grapefruit,281
grown,281
herb,281
industry,281
legit,281
rocks,281
yay,281
blah,280
desired,280
granted,280
joints,280
policy,280
western,280
acai,279
clams,279
designed,279
flag,279
hits,279
loaf,279
lovers,279
selected,279
shakes,279
sleep,279
venture,279
wrote,279
condiments,278
mixture,278
palate,278
fashion,277
scone,277
y'all,277
cross,276
lukewarm,276
cons,275
practically,275
sale,275
seeds,275
stools,275
clientele,274
healthier,274
ceviche,273
greet,273
mask,272
noisy,272
peg's,272
rain,272
removed,272
rittenhouse,272
beware,271
crew,271
happening,271
ingredient,271
personality,271
quantity,271
sauteed,271
surely,271
replied,270
bike,269
charcuterie,269
diced,269
doughnut,269
fave,269
lazy,269
nicer,269
ruined,269
steps,269
alternative,268
nut,268
rated,268
tenders,268
broad,267
charles,267
combinations,267
fireplace,267
kill,267
smoking,267
boiled,266
catering,266
charred,266
confusing,266
fail,266
memories,266
reserved,266
soaked,266
worker,266
80,265
afraid,265
chick,265
cupcake,265
frites,265
resist,265
shots,265
tray,265
challenge,264
cheesesteaks,264
cleanliness,264
compote,264
deciding,264
enormous,264
hall,264
marinated,264
occupied,264
sautéed,264
30pm,263
downside,263
drizzle,263
fruits,263
mission,263
polenta,263
press,263
smells,263
stands,263
tag,263
acceptable,262
curious,262
deck,262
fee,262
knock,262
sprinkled,262
tater,262
underwhelming,262
wanna,262
fridge,261
herbs,261
jar,261
memory,261
microwave,261
promise,261
sourced,261
swear,261
walnut,261
greeting,260
gyro,260
hoped,260
path,260
worried,260
1st,259
candy,259
cars,259
factor,259
magical,259
alley,258
baristas,258
candied,258
feature,258
foie,258
housemade,258
lose,258
picnic,258
décor,257
benny,256
canned,256
chicago,256
dear,256
delicate,256
instagram,256
loving,256
providing,256
trash,256
weekly,256
buck,255
complex,255
everyone's,255
grew,255
luke's,255
surprising,255
vintage,255
boxes,254
courteous,254
crafted,254
executed,254
hawaiian,254
hubs,254
okra,254
pride,254
steal,254
tooth,254
trips,254
watering,254
battered,253
direction,253
failed,253
heads,253
seed,253
sits,253
study,253
burned,252
closest,252
importantly,252
national,252
ugh,252
unusual,252
action,251
casserole,251
coworkers,251
edges,251
entrée,251
genuinely,251
grub,251
oily,251
reviewers,251
sorts,251
themed,251
carbs,250
challah,250
choosing,250
cleared,250
fiance,250
marys,250
metro,250
30am,249
buzz,249
exchange,249
mass,249
stepped,249
streets,249
2pm,248
hung,248
individual,248
kinks,248
museum,248
steep,248
bleu,247
bold,247
carte,247
character,247
cole,247
frosting,247
fyi,247
penny,247
pimento,247
test,247
yelper,247
accessible,246
complained,246
drip,246
finger,246
surrounded,246
lie,245
raving,245
www.yelp.com,245
assumed,244
cares,244
cousin,244
deliciously,244
dill,244
indianapolis,244
ocean,244
tree,244
join,243
period,243
blew,242
brulee,242
heated,242
initial,242
insane,242
lively,242
trout,242
a.m,241
email,241
handled,241
improved,241
mash,241
confit,240
convenience,240
runs,240
sucker,240
tab,240
advertised,239
brews,239
ceilings,239
holding,239
passion,239
property,239
slowly,239
stew,239
tone,239
walnuts,239
blackberry,238
cat,238
crusty,238
encountered,238
john's,238
legs,238
ordinary,238
sriracha,238
cider,237
convinced,237
minor,237
porch,237
shout,237
spaces,237
3pm,236
blended,236
buttered,236
careful,236
crack,236
wedge,236
yep,236
accept,235
bake,235
johnny,235
joy,235
roof,235
steakhouse,235
broke,234
comparison,234
court,234
hotels,234
pace,234
peas,234
stuffing,234
updated,234
veg,234
vegetarians,234
assured,233
