topic,term,beta
1,butter,0.0015528140770216838
2,butter,9.352311001657601e-4
3,butter,7.647014507510699e-4
4,butter,7.188984254569254e-4
1,cauliflower,2.847083683292808e-4
2,cauliflower,2.6665778585427933e-4
3,cauliflower,1.284757414163986e-4
4,cauliflower,1.2433005725801175e-4
1,dessert,7.55600484629257e-4
2,dessert,7.574183862236478e-4
3,dessert,0.0014882859483057822
4,dessert,0.002111426116911685
1,syrup,1.8104648845240266e-4
2,syrup,5.842111326055603e-4
3,syrup,8.450559854572532e-4
4,syrup,4.563285182316094e-4
1,queso,1.413205817160848e-4
2,queso,1.453708767039346e-4
3,queso,1.3388862286214853e-4
4,queso,1.1732250749411681e-4
1,cracker,2.05786234886695e-4
2,cracker,5.9689302647725305e-5
3,cracker,9.805449100084296e-5
4,cracker,1.1911864236189278e-4
1,strawberries,1.4466137293931371e-5
2,strawberries,2.5204536793571816e-5
3,strawberries,6.302620655103361e-4
4,strawberries,7.702569028336855e-5
1,fruit,6.034863304288639e-4
2,fruit,3.6248002503877025e-4
3,fruit,9.356981794973516e-4
4,fruit,9.013718084712626e-4
1,apple,6.095362204883428e-4
2,apple,3.327749364976943e-4
3,apple,3.0475002132791866e-4
4,apple,6.059203915498602e-4
1,tomato,9.460619600081934e-4
2,tomato,8.620928751045605e-4
3,tomato,6.518756524850881e-4
4,tomato,6.111595150859528e-4
1,roll,5.005690303956518e-4
2,roll,2.1265389649805026e-4
3,roll,4.899941424744027e-4
4,roll,8.861936500655579e-4
1,mango,5.176700859445875e-5
2,mango,3.006104498698095e-4
3,mango,1.422594901669993e-4
4,mango,6.109095416103256e-5
1,sweet,0.0032802045067264894
2,sweet,0.0031100790042505144
3,sweet,8.864197210752765e-5
4,sweet,0.0027106425115018644
1,danish,6.71813351690351e-5
2,danish,8.980937072769898e-6
3,danish,4.950837212701672e-5
4,danish,1.5761994774234903e-5
1,goat,5.165569888551139e-4
2,goat,3.731337230830635e-5
3,goat,1.8477627055277384e-4
4,goat,4.472408208273655e-4
1,rye,5.330477829244207e-5
2,rye,3.450816707287218e-5
3,rye,1.83412043130418e-4
4,rye,3.532581318262103e-4
1,bear,1.566988671805696e-4
2,bear,8.990035586361711e-5
3,bear,3.646521923946326e-5
4,bear,2.1671700873211552e-5
1,parmesan,4.202189533649948e-5
2,parmesan,1.72285076181405e-4
3,parmesan,2.0165131581319524e-4
4,parmesan,1.970339612277869e-4
1,sausage,0.0020059636447069045
2,sausage,0.0012137114850746516
3,sausage,0.0012316545912510726
4,sausage,2.5922831523867866e-4
1,pastrami,3.671069388167683e-5
2,pastrami,2.0215250513531153e-6
3,pastrami,2.656951342629788e-4
4,pastrami,1.7943043405769756e-4
1,spanish,1.414914745998567e-4
2,spanish,6.457435496578426e-5
3,spanish,1.1721452256188384e-4
4,spanish,1.2198477273484187e-4
1,garlic,2.4551067404006167e-4
2,garlic,7.709721136318922e-5
3,garlic,7.63527833925667e-4
4,garlic,8.129574201458777e-4
1,yogurt,1.3998812585637848e-4
2,yogurt,8.074783193350951e-5
3,yogurt,2.987854496835324e-4
4,yogurt,3.696884046240168e-5
1,tomatoes,9.682078610211162e-4
2,tomatoes,1.9294905034422639e-4
3,tomatoes,1.790683108052907e-4
4,tomatoes,7.225748902924047e-4
1,pineapple,1.6114961110508418e-4
2,pineapple,1.4955924073887513e-4
3,pineapple,1.3532701617390656e-4
4,pineapple,2.1574264354682368e-4
1,ham,0.001489432680093564
2,ham,5.078432836158759e-4
3,ham,1.3619387037316506e-4
4,ham,2.5628259242559804e-4
1,wheat,1.7843954397048112e-4
2,wheat,1.373636580400716e-4
3,wheat,7.451073757627012e-5
4,wheat,3.079457254667555e-4
1,gras,3.653747250280926e-5
2,gras,1.6201120162178214e-4
3,gras,1.240597922237844e-4
4,gras,1.321995137796742e-4
1,potato,9.9673616475169e-4
2,potato,7.738275043732103e-4
3,potato,0.0010531531295724134
4,potato,5.312493833061792e-4
1,sprouts,4.137522064367753e-4
2,sprouts,8.308895426390314e-5
3,sprouts,2.474910771621674e-4
4,sprouts,2.1362664333954168e-4
1,turkey,2.6373126186646006e-4
2,turkey,1.3736356253310898e-4
3,turkey,8.559715774086768e-4
4,turkey,9.396933752574011e-4
1,pastry,1.6436754243000348e-4
2,pastry,1.7371238253539688e-4
3,pastry,4.596160318194301e-4
4,pastry,3.250277469334024e-4
1,onion,5.848698181960164e-4
2,onion,6.139653808084392e-4
3,onion,6.620023224367663e-4
4,onion,4.728211921203683e-4
1,tart,3.4781917198525766e-4
2,tart,4.9160768066343847e-5
3,tart,6.898888387734547e-5
4,tart,1.382704303294475e-4
1,pudding,2.52440673528689e-4
2,pudding,3.6725966230691687e-4
3,pudding,3.6035891351415264e-4
4,pudding,4.4036233406000505e-4
1,peanut,3.334131453488677e-4
2,peanut,1.7821053057961292e-4
3,peanut,7.015368044749721e-5
4,peanut,2.629982802987586e-4
1,green,8.570443263443446e-4
2,green,0.0011627498038505324
3,green,0.001252118838677838
4,green,3.4437609056358167e-4
1,blueberries,1.0780278006164369e-4
2,blueberries,1.5277999950880284e-4
3,blueberries,7.33047166499374e-5
4,blueberries,3.5449304515640296e-5
1,grain,1.3415570950778925e-4
2,grain,4.880535431978881e-5
3,grain,1.5186205484592373e-5
4,grain,1.2228735662743603e-4
1,broccoli,3.313139434992213e-4
2,broccoli,6.238339947115154e-5
3,broccoli,1.724955749244642e-4
4,broccoli,6.724148614977366e-6
1,sugar,6.809514771224266e-5
2,sugar,8.130630497848012e-4
3,sugar,9.93209018653251e-4
4,sugar,2.1309926226646014e-4
1,dates,9.55684711245914e-5
2,dates,5.246325084433081e-5
3,dates,1.9672285793645435e-6
4,dates,9.242520573885207e-5
1,cereal,5.268807205148857e-6
2,cereal,1.9765830298511316e-5
3,cereal,8.10783669365578e-5
4,cereal,5.310659086951211e-5
1,honey,5.785166358357954e-4
2,honey,1.0055188962574332e-5
3,honey,6.407950016080159e-4
4,honey,4.765792015474967e-4
1,noodles,1.2325524466367903e-4
2,noodles,1.2179053800834568e-4
3,noodles,1.7131123037088627e-4
4,noodles,1.2779541530520626e-4
1,crust,3.2886422728783455e-4
2,crust,1.4646291441228733e-4
3,crust,5.1880956386591e-4
4,crust,1.771508554983985e-4
1,bean,2.6030108467599625e-4
2,bean,3.147714447493876e-4
3,bean,3.109466359266001e-4
4,bean,1.0669014466870153e-5
1,mung,3.3922146102918797e-6
2,mung,4.8760183797499675e-6
3,mung,6.503483628118492e-7
4,mung,2.5272559415306764e-6
1,falafel,5.789789174043451e-5
2,falafel,7.62074105053232e-5
3,falafel,1.4587320601334517e-5
4,falafel,4.796690166218625e-5
1,flower,1.123418732483697e-5
2,flower,6.991442380184004e-5
3,flower,5.5077466585527425e-5
4,flower,4.251763243054571e-6
1,wild,2.46683890772089e-4
2,wild,1.7321953190988106e-4
3,wild,1.291865783082206e-4
4,wild,1.671895332319536e-5
1,okra,6.392980591777267e-5
2,okra,2.301360924156804e-5
3,okra,7.568930270302771e-5
4,okra,1.0165043546294266e-4
1,dip,0.00038929042203297197
2,dip,4.4789316819714137e-4
3,dip,1.1022779780530393e-4
4,dip,1.512186218259375e-4
1,tofu,1.7736939766226212e-4
2,tofu,1.412858414134723e-4
3,tofu,6.142660408791439e-5
4,tofu,2.1406048598696914e-4
1,tempeh,1.8311273632666572e-5
2,tempeh,3.0505017521671763e-5
3,tempeh,4.076297483249246e-5
4,tempeh,1.2382201029246473e-5
1,mushrooms,4.398024031715797e-4
2,mushrooms,2.2817854746228034e-4
3,mushrooms,6.582970917029734e-4
4,mushrooms,1.039088552809894e-4
1,dough,4.005415363906095e-4
2,dough,2.743924828273217e-5
